Matchup	Value
[4, 4, 4, 3, 3, 3]	-24
[4, 4, 4, 4, 3, 2]	-24
[4, 4, 4, 4, 4, 1]	-22
[5, 4, 3, 3, 3, 3]	-24
[5, 4, 4, 3, 3, 2]	-24
[5, 4, 4, 4, 2, 2]	-24
[5, 4, 4, 4, 3, 1]	-22
[5, 4, 4, 4, 4, 0]	-17
[5, 5, 3, 3, 3, 2]	-24
[5, 5, 4, 3, 2, 2]	-24
[5, 5, 4, 3, 3, 1]	-22
[5, 5, 4, 4, 2, 1]	-22
[5, 5, 4, 4, 3, 0]	-17
[5, 5, 5, 2, 2, 2]	-24
[5, 5, 5, 3, 2, 1]	-22
[5, 5, 5, 3, 3, 0]	-17
[5, 5, 5, 4, 1, 1]	-20
[5, 5, 5, 4, 2, 0]	-17
[5, 5, 5, 5, 1, 0]	-15
[6, 3, 3, 3, 3, 3]	-24
[6, 4, 3, 3, 3, 2]	-24
[6, 4, 4, 3, 2, 2]	-24
[6, 4, 4, 3, 3, 1]	-22
[6, 4, 4, 4, 2, 1]	-22
[6, 4, 4, 4, 3, 0]	-17
[6, 5, 3, 3, 2, 2]	-24
[6, 5, 3, 3, 3, 1]	-22
[6, 5, 4, 2, 2, 2]	-24
[6, 5, 4, 3, 2, 1]	-22
[6, 5, 4, 3, 3, 0]	-17
[6, 5, 4, 4, 1, 1]	-20
[6, 5, 4, 4, 2, 0]	-17
[6, 5, 5, 2, 2, 1]	-22
[6, 5, 5, 3, 1, 1]	-20
[6, 5, 5, 3, 2, 0]	-17
[6, 5, 5, 4, 1, 0]	-15
[6, 5, 5, 5, 0, 0]	-10
[6, 6, 3, 2, 2, 2]	-24
[6, 6, 3, 3, 2, 1]	-22
[6, 6, 3, 3, 3, 0]	-17
[6, 6, 4, 2, 2, 1]	-22
[6, 6, 4, 3, 1, 1]	-20
[6, 6, 4, 3, 2, 0]	-17
[6, 6, 4, 4, 1, 0]	-15
[6, 6, 5, 2, 1, 1]	-20
[6, 6, 5, 2, 2, 0]	-17
[6, 6, 5, 3, 1, 0]	-15
[6, 6, 5, 4, 0, 0]	-10
[6, 6, 6, 1, 1, 1]	-18
[6, 6, 6, 2, 1, 0]	-15
[6, 6, 6, 3, 0, 0]	-10
[7, 3, 3, 3, 3, 2]	-24
[7, 4, 3, 3, 2, 2]	-24
[7, 4, 3, 3, 3, 1]	-22
[7, 4, 4, 2, 2, 2]	-24
[7, 4, 4, 3, 2, 1]	-22
[7, 4, 4, 3, 3, 0]	-17
[7, 4, 4, 4, 1, 1]	-20
[7, 4, 4, 4, 2, 0]	-17
[7, 5, 3, 2, 2, 2]	-24
[7, 5, 3, 3, 2, 1]	-22
[7, 5, 3, 3, 3, 0]	-17
[7, 5, 4, 2, 2, 1]	-22
[7, 5, 4, 3, 1, 1]	-20
[7, 5, 4, 3, 2, 0]	-17
[7, 5, 4, 4, 1, 0]	-15
[7, 5, 5, 2, 1, 1]	-20
[7, 5, 5, 2, 2, 0]	-17
[7, 5, 5, 3, 1, 0]	-15
[7, 5, 5, 4, 0, 0]	-10
[7, 6, 2, 2, 2, 2]	-24
[7, 6, 3, 2, 2, 1]	-22
[7, 6, 3, 3, 1, 1]	-20
[7, 6, 3, 3, 2, 0]	-17
[7, 6, 4, 2, 1, 1]	-20
[7, 6, 4, 2, 2, 0]	-17
[7, 6, 4, 3, 1, 0]	-15
[7, 6, 4, 4, 0, 0]	-10
[7, 6, 5, 1, 1, 1]	-18
[7, 6, 5, 2, 1, 0]	-15
[7, 6, 5, 3, 0, 0]	-10
[7, 6, 6, 1, 1, 0]	-13
[7, 6, 6, 2, 0, 0]	-10
[7, 7, 2, 2, 2, 1]	-22
[7, 7, 3, 2, 1, 1]	-20
[7, 7, 3, 2, 2, 0]	-17
[7, 7, 3, 3, 1, 0]	-15
[7, 7, 4, 1, 1, 1]	-18
[7, 7, 4, 2, 1, 0]	-15
[7, 7, 4, 3, 0, 0]	-10
[7, 7, 5, 1, 1, 0]	-13
[7, 7, 5, 2, 0, 0]	-10
[7, 7, 6, 1, 0, 0]	-8
[7, 7, 7, 0, 0, 0]	-3
[8, 3, 3, 3, 2, 2]	-24
[8, 3, 3, 3, 3, 1]	-22
[8, 4, 3, 2, 2, 2]	-24
[8, 4, 3, 3, 2, 1]	-22
[8, 4, 3, 3, 3, 0]	-17
[8, 4, 4, 2, 2, 1]	-22
[8, 4, 4, 3, 1, 1]	-20
[8, 4, 4, 3, 2, 0]	-17
[8, 4, 4, 4, 1, 0]	-15
[8, 5, 2, 2, 2, 2]	-24
[8, 5, 3, 2, 2, 1]	-22
[8, 5, 3, 3, 1, 1]	-20
[8, 5, 3, 3, 2, 0]	-17
[8, 5, 4, 2, 1, 1]	-20
[8, 5, 4, 2, 2, 0]	-17
[8, 5, 4, 3, 1, 0]	-15
[8, 5, 4, 4, 0, 0]	-10
[8, 5, 5, 1, 1, 1]	-18
[8, 5, 5, 2, 1, 0]	-15
[8, 5, 5, 3, 0, 0]	-10
[8, 6, 2, 2, 2, 1]	-22
[8, 6, 3, 2, 1, 1]	-20
[8, 6, 3, 2, 2, 0]	-17
[8, 6, 3, 3, 1, 0]	-15
[8, 6, 4, 1, 1, 1]	-18
[8, 6, 4, 2, 1, 0]	-15
[8, 6, 4, 3, 0, 0]	-10
[8, 6, 5, 1, 1, 0]	-13
[8, 6, 5, 2, 0, 0]	-10
[8, 6, 6, 1, 0, 0]	-8
[8, 7, 2, 2, 1, 1]	-20
[8, 7, 2, 2, 2, 0]	-17
[8, 7, 3, 1, 1, 1]	-18
[8, 7, 3, 2, 1, 0]	-15
[8, 7, 3, 3, 0, 0]	-10
[8, 7, 4, 1, 1, 0]	-13
[8, 7, 4, 2, 0, 0]	-10
[8, 7, 5, 1, 0, 0]	-8
[8, 7, 6, 0, 0, 0]	-3
[8, 8, 2, 1, 1, 1]	-18
[8, 8, 2, 2, 1, 0]	-15
[8, 8, 3, 1, 1, 0]	-13
[8, 8, 3, 2, 0, 0]	-10
[8, 8, 4, 1, 0, 0]	-8
[8, 8, 5, 0, 0, 0]	-3
[9, 3, 3, 2, 2, 2]	-24
[9, 3, 3, 3, 2, 1]	-22
[9, 3, 3, 3, 3, 0]	-17
[9, 4, 2, 2, 2, 2]	-24
[9, 4, 3, 2, 2, 1]	-22
[9, 4, 3, 3, 1, 1]	-20
[9, 4, 3, 3, 2, 0]	-17
[9, 4, 4, 2, 1, 1]	-20
[9, 4, 4, 2, 2, 0]	-17
[9, 4, 4, 3, 1, 0]	-15
[9, 4, 4, 4, 0, 0]	-10
[9, 5, 2, 2, 2, 1]	-22
[9, 5, 3, 2, 1, 1]	-20
[9, 5, 3, 2, 2, 0]	-17
[9, 5, 3, 3, 1, 0]	-15
[9, 5, 4, 1, 1, 1]	-18
[9, 5, 4, 2, 1, 0]	-15
[9, 5, 4, 3, 0, 0]	-10
[9, 5, 5, 1, 1, 0]	-13
[9, 5, 5, 2, 0, 0]	-10
[9, 6, 2, 2, 1, 1]	-20
[9, 6, 2, 2, 2, 0]	-17
[9, 6, 3, 1, 1, 1]	-18
[9, 6, 3, 2, 1, 0]	-15
[9, 6, 3, 3, 0, 0]	-10
[9, 6, 4, 1, 1, 0]	-13
[9, 6, 4, 2, 0, 0]	-10
[9, 6, 5, 1, 0, 0]	-8
[9, 6, 6, 0, 0, 0]	-3
[9, 7, 2, 1, 1, 1]	-18
[9, 7, 2, 2, 1, 0]	-15
[9, 7, 3, 1, 1, 0]	-13
[9, 7, 3, 2, 0, 0]	-10
[9, 7, 4, 1, 0, 0]	-8
[9, 7, 5, 0, 0, 0]	-3
[9, 8, 1, 1, 1, 1]	-16
[9, 8, 2, 1, 1, 0]	-13
[9, 8, 2, 2, 0, 0]	-10
[9, 8, 3, 1, 0, 0]	-8
[9, 8, 4, 0, 0, 0]	-3
[9, 9, 1, 1, 1, 0]	-11
[9, 9, 2, 1, 0, 0]	-8
[9, 9, 3, 0, 0, 0]	-3
[10, 3, 2, 2, 2, 2]	-24
[10, 3, 3, 2, 2, 1]	-22
[10, 3, 3, 3, 1, 1]	-20
[10, 3, 3, 3, 2, 0]	-17
[10, 4, 2, 2, 2, 1]	-22
[10, 4, 3, 2, 1, 1]	-20
[10, 4, 3, 2, 2, 0]	-17
[10, 4, 3, 3, 1, 0]	-15
[10, 4, 4, 1, 1, 1]	-18
[10, 4, 4, 2, 1, 0]	-15
[10, 4, 4, 3, 0, 0]	-10
[10, 5, 2, 2, 1, 1]	-20
[10, 5, 2, 2, 2, 0]	-17
[10, 5, 3, 1, 1, 1]	-18
[10, 5, 3, 2, 1, 0]	-15
[10, 5, 3, 3, 0, 0]	-10
[10, 5, 4, 1, 1, 0]	-13
[10, 5, 4, 2, 0, 0]	-10
[10, 5, 5, 1, 0, 0]	-8
[10, 6, 2, 1, 1, 1]	-18
[10, 6, 2, 2, 1, 0]	-15
[10, 6, 3, 1, 1, 0]	-13
[10, 6, 3, 2, 0, 0]	-10
[10, 6, 4, 1, 0, 0]	-8
[10, 6, 5, 0, 0, 0]	-3
[10, 7, 1, 1, 1, 1]	-16
[10, 7, 2, 1, 1, 0]	-13
[10, 7, 2, 2, 0, 0]	-10
[10, 7, 3, 1, 0, 0]	-8
[10, 7, 4, 0, 0, 0]	-3
[10, 8, 1, 1, 1, 0]	-11
[10, 8, 2, 1, 0, 0]	-8
[10, 8, 3, 0, 0, 0]	-3
[10, 9, 1, 1, 0, 0]	-6
[10, 9, 2, 0, 0, 0]	-3
[10, 10, 1, 0, 0, 0]	-1
[11, 2, 2, 2, 2, 2]	-24
[11, 3, 2, 2, 2, 1]	-22
[11, 3, 3, 2, 1, 1]	-20
[11, 3, 3, 2, 2, 0]	-17
[11, 3, 3, 3, 1, 0]	-15
[11, 4, 2, 2, 1, 1]	-20
[11, 4, 2, 2, 2, 0]	-17
[11, 4, 3, 1, 1, 1]	-18
[11, 4, 3, 2, 1, 0]	-15
[11, 4, 3, 3, 0, 0]	-10
[11, 4, 4, 1, 1, 0]	-13
[11, 4, 4, 2, 0, 0]	-10
[11, 5, 2, 1, 1, 1]	-18
[11, 5, 2, 2, 1, 0]	-15
[11, 5, 3, 1, 1, 0]	-13
[11, 5, 3, 2, 0, 0]	-10
[11, 5, 4, 1, 0, 0]	-8
[11, 5, 5, 0, 0, 0]	-3
[11, 6, 1, 1, 1, 1]	-16
[11, 6, 2, 1, 1, 0]	-13
[11, 6, 2, 2, 0, 0]	-10
[11, 6, 3, 1, 0, 0]	-8
[11, 6, 4, 0, 0, 0]	-3
[11, 7, 1, 1, 1, 0]	-11
[11, 7, 2, 1, 0, 0]	-8
