Matchup	Value
[7, 6, 6, 2, 0, 0]	-4
[7, 7, 2, 2, 2, 1]	+4
[7, 7, 3, 2, 1, 1]	+4
[7, 7, 3, 2, 2, 0]	+5
[7, 7, 3, 3, 1, 0]	+5
[7, 7, 4, 1, 1, 1]	+0
[7, 7, 4, 2, 1, 0]	+1
[7, 7, 4, 3, 0, 0]	+2
[7, 7, 5, 1, 1, 0]	-4
[7, 7, 5, 2, 0, 0]	-3
[7, 7, 6, 1, 0, 0]	-4
[7, 7, 7, 0, 0, 0]	-3
[8, 3, 3, 3, 2, 2]	+14
[8, 3, 3, 3, 3, 1]	+14
[8, 4, 3, 2, 2, 2]	+10
[8, 4, 3, 3, 2, 1]	+10
[8, 4, 3, 3, 3, 0]	+11
[8, 4, 4, 2, 2, 1]	+6
[8, 4, 4, 3, 1, 1]	+6
[8, 4, 4, 3, 2, 0]	+7
[8, 4, 4, 4, 1, 0]	+3
[8, 5, 2, 2, 2, 2]	+5
[8, 5, 3, 2, 2, 1]	+5
[8, 5, 3, 3, 1, 1]	+5
[8, 5, 3, 3, 2, 0]	+6
[8, 5, 4, 2, 1, 1]	+1
[8, 5, 4, 2, 2, 0]	+2
[8, 5, 4, 3, 1, 0]	+2
[8, 5, 4, 4, 0, 0]	-1
[8, 5, 5, 1, 1, 1]	-4
[8, 5, 5, 2, 1, 0]	-3
[8, 5, 5, 3, 0, 0]	-2
[8, 6, 2, 2, 2, 1]	+4
[8, 6, 3, 2, 1, 1]	+4
[8, 6, 3, 2, 2, 0]	+5
[8, 6, 3, 3, 1, 0]	+5
[8, 6, 4, 1, 1, 1]	+0
[8, 6, 4, 2, 1, 0]	+1
[8, 6, 4, 3, 0, 0]	+2
[8, 6, 5, 1, 1, 0]	-4
[8, 6, 5, 2, 0, 0]	-3
[8, 6, 6, 1, 0, 0]	-4
[8, 7, 2, 2, 1, 1]	+4
[8, 7, 2, 2, 2, 0]	+5
[8, 7, 3, 1, 1, 1]	+4
[8, 7, 3, 2, 1, 0]	+5
[8, 7, 3, 3, 0, 0]	+6
[8, 7, 4, 1, 1, 0]	+1
[8, 7, 4, 2, 0, 0]	+2
[8, 7, 5, 1, 0, 0]	-3
[8, 7, 6, 0, 0, 0]	-3
[8, 8, 2, 1, 1, 1]	+4
[8, 8, 2, 2, 1, 0]	+5
[8, 8, 3, 1, 1, 0]	+5
[8, 8, 3, 2, 0, 0]	+6
[8, 8, 4, 1, 0, 0]	+2
[8, 8, 5, 0, 0, 0]	-2
[9, 3, 3, 2, 2, 2]	+14
[9, 3, 3, 3, 2, 1]	+14
[9, 3, 3, 3, 3, 0]	+15
[9, 4, 2, 2, 2, 2]	+10
[9, 4, 3, 2, 2, 1]	+10
[9, 4, 3, 3, 1, 1]	+10
[9, 4, 3, 3, 2, 0]	+11
[9, 4, 4, 2, 1, 1]	+6
[9, 4, 4, 2, 2, 0]	+7
[9, 4, 4, 3, 1, 0]	+7
[9, 4, 4, 4, 0, 0]	+4
[9, 5, 2, 2, 2, 1]	+5
[9, 5, 3, 2, 1, 1]	+5
[9, 5, 3, 2, 2, 0]	+6
[9, 5, 3, 3, 1, 0]	+6
[9, 5, 4, 1, 1, 1]	+1
[9, 5, 4, 2, 1, 0]	+2
[9, 5, 4, 3, 0, 0]	+3
[9, 5, 5, 1, 1, 0]	-3
[9, 5, 5, 2, 0, 0]	-2
[9, 6, 2, 2, 1, 1]	+4
[9, 6, 2, 2, 2, 0]	+5
[9, 6, 3, 1, 1, 1]	+4
[9, 6, 3, 2, 1, 0]	+5
[9, 6, 3, 3, 0, 0]	+6
[9, 6, 4, 1, 1, 0]	+1
[9, 6, 4, 2, 0, 0]	+2
[9, 6, 5, 1, 0, 0]	-3
[9, 6, 6, 0, 0, 0]	-3
[9, 7, 2, 1, 1, 1]	+4
[9, 7, 2, 2, 1, 0]	+5
[9, 7, 3, 1, 1, 0]	+5
[9, 7, 3, 2, 0, 0]	+6
[9, 7, 4, 1, 0, 0]	+2
[9, 7, 5, 0, 0, 0]	-2
[9, 8, 1, 1, 1, 1]	+4
[9, 8, 2, 1, 1, 0]	+5
[9, 8, 2, 2, 0, 0]	+6
[9, 8, 3, 1, 0, 0]	+6
[9, 8, 4, 0, 0, 0]	+3
[9, 9, 1, 1, 1, 0]	+5
[9, 9, 2, 1, 0, 0]	+6
[9, 9, 3, 0, 0, 0]	+7
[10, 3, 2, 2, 2, 2]	+14
[10, 3, 3, 2, 2, 1]	+14
[10, 3, 3, 3, 1, 1]	+14
[10, 3, 3, 3, 2, 0]	+15
[10, 4, 2, 2, 2, 1]	+10
[10, 4, 3, 2, 1, 1]	+10
[10, 4, 3, 2, 2, 0]	+11
[10, 4, 3, 3, 1, 0]	+11
[10, 4, 4, 1, 1, 1]	+6
[10, 4, 4, 2, 1, 0]	+7
[10, 4, 4, 3, 0, 0]	+8
[10, 5, 2, 2, 1, 1]	+5
[10, 5, 2, 2, 2, 0]	+6
[10, 5, 3, 1, 1, 1]	+5
[10, 5, 3, 2, 1, 0]	+6
[10, 5, 3, 3, 0, 0]	+7
[10, 5, 4, 1, 1, 0]	+2
[10, 5, 4, 2, 0, 0]	+3
[10, 5, 5, 1, 0, 0]	-2
[10, 6, 2, 1, 1, 1]	+4
[10, 6, 2, 2, 1, 0]	+5
[10, 6, 3, 1, 1, 0]	+5
[10, 6, 3, 2, 0, 0]	+6
[10, 6, 4, 1, 0, 0]	+2
[10, 6, 5, 0, 0, 0]	-2
[10, 7, 1, 1, 1, 1]	+4
[10, 7, 2, 1, 1, 0]	+5
[10, 7, 2, 2, 0, 0]	+6
[10, 7, 3, 1, 0, 0]	+6
[10, 7, 4, 0, 0, 0]	+3
[10, 8, 1, 1, 1, 0]	+5
[10, 8, 2, 1, 0, 0]	+6
[10, 8, 3, 0, 0, 0]	+7
[10, 9, 1, 1, 0, 0]	+6
[10, 9, 2, 0, 0, 0]	+7
[10, 10, 1, 0, 0, 0]	+7
[11, 2, 2, 2, 2, 2]	+14
[11, 3, 2, 2, 2, 1]	+14
[11, 3, 3, 2, 1, 1]	+14
[11, 3, 3, 2, 2, 0]	+15
[11, 3, 3, 3, 1, 0]	+15
[11, 4, 2, 2, 1, 1]	+10
[11, 4, 2, 2, 2, 0]	+11
[11, 4, 3, 1, 1, 1]	+10
[11, 4, 3, 2, 1, 0]	+11
[11, 4, 3, 3, 0, 0]	+12
[11, 4, 4, 1, 1, 0]	+7
[11, 4, 4, 2, 0, 0]	+8
[11, 5, 2, 1, 1, 1]	+5
[11, 5, 2, 2, 1, 0]	+6
[11, 5, 3, 1, 1, 0]	+6
[11, 5, 3, 2, 0, 0]	+7
[11, 5, 4, 1, 0, 0]	+3
[11, 5, 5, 0, 0, 0]	-1
[11, 6, 1, 1, 1, 1]	+4
[11, 6, 2, 1, 1, 0]	+5
[11, 6, 2, 2, 0, 0]	+6
[11, 6, 3, 1, 0, 0]	+6
[11, 6, 4, 0, 0, 0]	+3
[11, 7, 1, 1, 1, 0]	+5
[11, 7, 2, 1, 0, 0]	+6
[11, 7, 3, 0, 0, 0]	+7
[11, 8, 1, 1, 0, 0]	+6
[11, 8, 2, 0, 0, 0]	+7
[11, 9, 1, 0, 0, 0]	+7
[11, 10, 0, 0, 0, 0]	+8
[12, 2, 2, 2, 2, 1]	+14
[12, 3, 2, 2, 1, 1]	+14
[12, 3, 2, 2, 2, 0]	+15
[12, 3, 3, 1, 1, 1]	+14
[12, 3, 3, 2, 1, 0]	+15
[12, 3, 3, 3, 0, 0]	+16
[12, 4, 2, 1, 1, 1]	+10
[12, 4, 2, 2, 1, 0]	+11
[12, 4, 3, 1, 1, 0]	+11
[12, 4, 3, 2, 0, 0]	+12
[12, 4, 4, 1, 0, 0]	+8
[12, 5, 1, 1, 1, 1]	+5
[12, 5, 2, 1, 1, 0]	+6
[12, 5, 2, 2, 0, 0]	+7
[12, 5, 3, 1, 0, 0]	+7
[12, 5, 4, 0, 0, 0]	+4
[12, 6, 1, 1, 1, 0]	+5
[12, 6, 2, 1, 0, 0]	+6
[12, 6, 3, 0, 0, 0]	+7
[12, 7, 1, 1, 0, 0]	+6
[12, 7, 2, 0, 0, 0]	+7
[12, 8, 1, 0, 0, 0]	+7
[12, 9, 0, 0, 0, 0]	+8
[13, 2, 2, 2, 1, 1]	+14
[13, 2, 2, 2, 2, 0]	+15
[13, 3, 2, 1, 1, 1]	+14
[13, 3, 2, 2, 1, 0]	+15
[13, 3, 3, 1, 1, 0]	+15
[13, 3, 3, 2, 0, 0]	+16
[13, 4, 1, 1, 1, 1]	+10
[13, 4, 2, 1, 1, 0]	+11
[13, 4, 2, 2, 0, 0]	+12
[13, 4, 3, 1, 0, 0]	+12
[13, 4, 4, 0, 0, 0]	+9
[13, 5, 1, 1, 1, 0]	+6
[13, 5, 2, 1, 0, 0]	+7
[13, 5, 3, 0, 0, 0]	+8
[13, 6, 1, 1, 0, 0]	+6
[13, 6, 2, 0, 0, 0]	+7
[13, 7, 1, 0, 0, 0]	+7
[13, 8, 0, 0, 0, 0]	+8
[14, 2, 2, 1, 1, 1]	+14
[14, 2, 2, 2, 1, 0]	+15
[14, 3, 1, 1, 1, 1]	+14
[14, 3, 2, 1, 1, 0]	+15
[14, 3, 2, 2, 0, 0]	+16
[14, 3, 3, 1, 0, 0]	+16
[14, 4, 1, 1, 1, 0]	+11
[14, 4, 2, 1, 0, 0]	+12
[14, 4, 3, 0, 0, 0]	+13
[14, 5, 1, 1, 0, 0]	+7
[14, 5, 2, 0, 0, 0]	+8
[14, 6, 1, 0, 0, 0]	+7
[14, 7, 0, 0, 0, 0]	+8
[15, 2, 1, 1, 1, 1]	+14
[15, 2, 2, 1, 1, 0]	+15
[15, 2, 2, 2, 0, 0]	+16
[15, 3, 1, 1, 1, 0]	+15
[15, 3, 2, 1, 0, 0]	+16
[15, 3, 3, 0, 0, 0]	+17
[15, 4, 1, 1, 0, 0]	+12
[15, 4, 2, 0, 0, 0]	+13
[15, 5, 1, 0, 0, 0]	+8
[15, 6, 0, 0, 0, 0]	+8
[16, 1, 1, 1, 1, 1]	+14
[16, 2, 1, 1, 1, 0]	+15
[16, 2, 2, 1, 0, 0]	+16
[16, 3, 1, 1, 0, 0]	+16
[16, 3, 2, 0, 0, 0]	+17
[16, 4, 1, 0, 0, 0]	+13
[16, 5, 0, 0, 0, 0]	+9
[17, 1, 1, 1, 1, 0]	+15
[17, 2, 1, 1, 0, 0]	+16
[17, 2, 2, 0, 0, 0]	+17
[17, 3, 1, 0, 0, 0]	+17
[17, 4, 0, 0, 0, 0]	+14
[18, 1, 1, 1, 0, 0]	+16
[18, 2, 1, 0, 0, 0]	+17
[18, 3, 0, 0, 0, 0]	+18
[19, 1, 1, 0, 0, 0]	+17
[19, 2, 0, 0, 0, 0]	+18
[20, 1, 0, 0, 0, 0]	+18
[21, 0, 0, 0, 0, 0]	+19
